date,province,amphoe,tambon,pm25_avg,temperature_avg
2026-01-01,น่าน,นาหมื่น,บ่อแก้ว,25.259583333333335,21.05333333333333
2026-01-01,น่าน,บ้านหลวง,สวด,22.103958333333335,20.98928787096193
2026-01-01,น่าน,เฉลิมพระเกียรติ,ห้วยโก๋น,15.0,17.125833333333333
2026-01-01,พะเยา,จุน,ห้วยข้าวก่ำ,2.1149999999999998,21.75708333333333
2026-01-01,พะเยา,ดอกคำใต้,ดงสุวรรณ,40.22291666666667,20.98928787096193
2026-01-01,พะเยา,ดอกคำใต้,ดอกคำใต้,38.74583333333333,20.98928787096193
2026-01-01,พะเยา,ดอกคำใต้,ดอนศรีชุม,42.99583333333334,20.98928787096193
2026-01-01,พะเยา,ภูซาง,ทุ่งกล้วย,29.72083333333333,20.98928787096193
2026-01-01,พะเยา,ภูซาง,บ้านฮวก,29.88875,20.98928787096193
2026-01-01,พะเยา,มือง,ท่าวังทอง,43.24875,20.98928787096193
2026-01-01,พะเยา,เชียงคำ,บ้านฝายกวาง,44.72708333333333,20.98928787096193
2026-01-01,พะเยา,เชียงคำ,บ้านหนองป่าแพะ,27.109583333333333,20.98928787096193
2026-01-01,พะเยา,เชียงคำ,เวียง,35.735416666666666,20.98928787096193
2026-01-01,พะเยา,เชียงม่วน,บ้านบ่อเบี้ย,40.10260869565217,20.61422379624706
2026-01-01,พะเยา,เชียงม่วน,เชียงม่วน,31.864166666666666,21.542083333333334
2026-01-01,ลำปาง,เมือง,กล้วยแพะ,46.77916666666667,20.98928787096193
2026-01-01,ลำปาง,เมือง,ปงแสน,43.99041666666667,20.98928787096193
2026-01-01,ลำปาง,เมือง,ปงแสนทอง,67.91458333333334,20.98928787096193
2026-01-01,ลำปาง,เมืองลำปาง,นิคมพัฒนา,40.841249999999995,20.98928787096193
2026-01-01,ลำปาง,แม่เมาะ,จางเหนือ,31.123333333333335,20.98928787096193
2026-01-01,ลำปาง,แม่เมาะ,นาสัก,39.00333333333334,20.98928787096193
2026-01-01,ลำปาง,แม่เมาะ,บ้านดง,40.04625,20.98928787096193
2026-01-01,ลำปาง,แม่เมาะ,สบป้าด,39.83625,20.98928787096193
2026-01-01,ลำปาง,แม่เมาะ,แม่เมาะ,36.24375,22.439166666666665
2026-01-01,ลำพูน,บ้านโฮ่ง,ตําบลหนองปลาสะวาย,38.6325,20.98928787096193
2026-01-01,ลำพูน,ป่าซาง,ปากบ่อง,4.787916666666667,20.98928787096193
2026-01-01,ลำพูน,ลี้,ลี้,33.7734375,22.501875
2026-01-01,ลำพูน,เมือง,ต้นธง,17.295277777777777,22.249988962003755
2026-01-01,ลำพูน,เมือง,บ้านม้า,44.9725,20.98928787096193
2026-01-01,ลำพูน,เมือง,ป่าซางน้อย,47.0,20.98928787096193
2026-01-01,ลำพูน,เมือง,ศรีบัวบาน,35.17125,20.98928787096193
2026-01-01,ลำพูน,เมือง,เหมืองจี้,28.023124999999997,20.98928787096193
2026-01-01,ลำพูน,เมืองลำพูน,หนองหล่ม,22.0,20.98928787096193
2026-01-01,ลำพูน,เมืองลำพูน,ในเมือง,47.695,20.98928787096193
2026-01-01,ลำพูน,แม่ทา,ทากาศ,45.59916666666667,20.98928787096193
2026-01-01,ลำพูน,แม่ทา,ทาปลาดุก,44.653333333333336,21.390011037527596
2026-01-01,เชียงราย,ป่าแดด,ป่าแดด,40.08380952380952,22.747142857142858
2026-01-01,เชียงราย,พญาเม็งราย,แม่เปา,53.53916666666667,20.98928787096193
2026-01-01,เชียงราย,พาน,ทานตะวัน,42.49208333333333,20.98928787096193
2026-01-01,เชียงราย,พาน,ธารทอง,47.734166666666674,20.98928787096193
2026-01-01,เชียงราย,พาน,บ้านป่าบง,31.081,23.96027084554343
2026-01-01,เชียงราย,พาน,ม่วงคำ,24.540833333333335,20.98928787096193
2026-01-01,เชียงราย,พาน,แม่เย็น,47.51541666666666,20.98928787096193
2026-01-01,เชียงราย,เชียงของ,บ้านทุ่งงิ้ว,38.02125,20.98928787096193
2026-01-01,เชียงราย,เชียงของ,สถาน,30.793333333333333,20.98928787096193
2026-01-01,เชียงราย,เชียงของ,ห้วยซ้อ,32.09291666666667,20.98928787096193
2026-01-01,เชียงราย,เทิง,เวียง,15.93,21.185624999999998
2026-01-01,เชียงราย,เมือง,บ้านจะคือ,48.26625000000001,20.98928787096193
2026-01-01,เชียงราย,เมือง,บ้านโป่งพระบาท,46.202916666666674,20.98928787096193
2026-01-01,เชียงราย,เมือง,รอบเวียง,65.18583333333333,20.96291666666667
2026-01-01,เชียงราย,เวียงชัย,บ้านดงมะตื๋น,91.92833333333333,20.98928787096193
2026-01-01,เชียงราย,เวียงชัย,ผางาม,48.41958333333333,20.98928787096193
2026-01-01,เชียงราย,เวียงเชียงรุ้ง,ทุ่งก่อ,41.91458333333333,20.98928787096193
2026-01-01,เชียงราย,เวียงเชียงรุ้ง,บ้านดงมหาวัน,37.92125,20.98928787096193
2026-01-01,เชียงราย,เวียงเชียงรุ้ง,ป่าซาง,32.40625,20.98928787096193
2026-01-01,เชียงราย,แม่สรวย,แม่พริก,43.001333333333335,21.724863538018845
2026-01-01,เชียงราย,แม่สาย,บ้านด้าย,47.82916666666667,20.98928787096193
2026-01-01,เชียงราย,แม่สาย,ห้วยไคร้,48.84125,20.98928787096193
2026-01-01,เชียงราย,แม่สาย,เกาะช้าง,11.150833333333333,20.98928787096193
2026-01-01,เชียงราย,แม่สาย,เวียงพางคำ,36.516666666666666,20.89625
2026-01-01,เชียงราย,แม่สาย,แม่สาย,39.635,20.98928787096193
2026-01-01,เชียงใหม่,กัลยาณิวัฒนา,แม่แดดน้อย,7.666666666666667,23.357016091553387
2026-01-01,เชียงใหม่,จอมทอง,ดอยแก้ว,27.536666666666665,20.98928787096193
2026-01-01,เชียงใหม่,ดอยสะเก็ด,สันปูเลย,60.89291666666667,20.98928787096193
2026-01-01,เชียงใหม่,ดอยเต่า,ดอยเต่า,27.12875,21.02625
2026-01-01,เชียงใหม่,ฝาง,เวียง,52.239583333333336,20.050833333333333
2026-01-01,เชียงใหม่,พร้าว,เวียง,31.434166666666666,20.98928787096193
2026-01-01,เชียงใหม่,พร้าว,แม่ปั๋ง,38.73708333333334,20.98928787096193
2026-01-01,เชียงใหม่,สันกำแพง,ดริ๊งค์,45.54,20.98928787096193
2026-01-01,เชียงใหม่,สันกำแพง,บวกค้าง,68.05708333333334,20.98928787096193
2026-01-01,เชียงใหม่,สันกำแพง,แช่ช้าง,39.518750000000004,20.98928787096193
2026-01-01,เชียงใหม่,สันป่าตอง,ยุหว่า,25.978333333333335,20.98928787096193
2026-01-01,เชียงใหม่,สันป่าตอง,สันกลาง,36.11083333333333,20.98928787096193
2026-01-01,เชียงใหม่,สารภี,สารภี,67.46583333333334,20.98928787096193
2026-01-01,เชียงใหม่,หางดง,หนองควาย,7.822916666666667,20.98928787096193
2026-01-01,เชียงใหม่,หางดง,หางดง,46.906666666666666,21.876202345150208
2026-01-01,เชียงใหม่,อมก๋อย,แม่ตื่น,31.497500000000002,20.98928787096193
2026-01-01,เชียงใหม่,ฮอด,หางดง,41.9425,19.93775
2026-01-01,เชียงใหม่,เชียงดาว,บ้านทุ่งข้าวพวง,61.25083333333333,20.98928787096193
2026-01-01,เชียงใหม่,เชียงดาว,บ้านปางเฟือง,48.14416666666667,20.98928787096193
2026-01-01,เชียงใหม่,เชียงดาว,บ้านเมืองงาย,34.86416666666667,20.98928787096193
